"raster_geocode_100","raster_pop_100","cities_100","cities_dist_100","clinics_100","clinics_dist_100","globcover_cls0","globcover_cls100","globcover_cls110","globcover_cls120","globcover_cls130","globcover_cls14","globcover_cls140","globcover_cls150","globcover_cls160","globcover_cls170","globcover_cls180","globcover_cls190","globcover_cls20","globcover_cls200","globcover_cls210","globcover_cls220","globcover_cls30","globcover_cls40","globcover_cls50","globcover_cls60","globcover_dst0","globcover_dst100","globcover_dst110","globcover_dst120","globcover_dst130","globcover_dst14","globcover_dst140","globcover_dst150","globcover_dst160","globcover_dst170","globcover_dst180","globcover_dst190","globcover_dst20","globcover_dst200","globcover_dst210","globcover_dst220","globcover_dst30","globcover_dst40","globcover_dst50","globcover_dst60","hamlets_100","hamlets_dist_100","hospitals_100","hospitals_dist_100","hydro_ele_100","hydro_slo_100","modis_100","night_lights_100","pharmacies_100","pharmacies_dist_100","protected_areas_100","protected_areas_dist_100","railways_100","railways_dist_100","rivers_100","rivers_dist_100","roads_100","roads_dist_100","schools_100","schools_dist_100","suburbs_100","suburbs_dist_100","towns_100","towns_dist_100","villages_100","villages_dist_100","water_100","water_dist_100","wc_prec_100","wc_temp_100"
5001,64.8433837890625,2.67265341030575e-05,8797.199059226,0.00122942056874065,4843.59918216806,0,0,0.122060081248664,0.00734979687834082,0.0271541586487064,0.00144323284156511,0.201518067137054,0,0,0,0,0.0175058798375027,0.0825048107761386,0,0,0,0.0285973914902715,0.488213598460552,0.0236529826812059,0,773351.560829592,1189623.13593115,1038.95544686765,3912.58189010049,3777.40819435536,9654.2790784691,1143.95191896515,27642.4493799444,68753.5050245884,277756.836513791,13593.1347551849,5444.97851186658,1854.86000641437,42886.1800566603,19101.5315373102,42387.6484124439,1917.08707504811,336.097498396408,2751.11497754971,1189890.03017426,0.00122942056874065,1903.06248663673,0.00430297199059226,3296.51662390421,2041.68248877486,14.3293836105346,8687.40132563609,17.522551877386,0.00355462903570665,3998.93051101133,0.442110327132777,877.291933932008,0,96606.2512828736,0.12080393414582,501.180270472525,0.385129356425059,287.433584562754,0.0152073979046397,1807.92067564678,0.00042762454564892,4996.03618772718,0,7506.01948364336,0.000133632670515288,4248.19868505452,0.00277955954671798,3367.20632884328,2465.61085157929,17.9630448938029
5002,0.402133792638779,0,39920.3877297223,0,20410.7824670838,0,0,0.00169762529856491,0.000848812649282457,0.0228587220434671,0.0147653921317041,0.00560611145107483,0,0,0,0,0,0.108628279279101,0,0,0.000710633845910894,0.127993051580173,0.709252057877179,0.00763931384354211,0,823538.948656705,1153260.9633234,5651.90171539114,7248.32914190963,3289.29511044434,3275.80327286366,3520.5241911605,45233.8717503306,61970.9451824947,331294.491087467,21427.6355435362,44387.0649637774,905.435579067885,30983.0623975996,33702.5305079058,16322.824947196,884.231113918553,99.0116662389704,3394.75230462504,1149955.0096133,5.92194871592412e-05,4890.82423656211,9.8699145265402e-05,7846.27985155649,1924.41027260704,17.947750414349,10919.7198326062,0.0835302672557717,0,17199.6626463215,0.0266290293926055,7343.56763852425,0,49946.9933279378,0.0235496160603249,1975.70755443258,0.0658520697210762,911.807536666733,0.000217138119583884,6584.55644604118,0,46762.7010600288,1.97398290530804e-05,7904.41110167986,9.8699145265402e-05,4784.24889950453,0.000138178803371563,10676.2735348112,2405.62377647469,17.6144612984906
5004,0.0909053385257721,0,70903.4586032389,0,66473.7171390014,0,0,0.0285087719298246,0.0069838056680162,0,0.00303643724696356,0.0182186234817814,0,0,0,0,0,0.0306342780026991,0,0,0,0.134345479082321,0.773886639676113,0.0043859649122807,0,732615.895580297,1205481.37860999,2044.5580634278,2954.05799595142,9728.49210526316,4403.55168690958,3648.15468960864,28815.8693994602,51516.0163630229,219974.644838057,19317.6234480432,65307.219534413,1683.55583670715,30471.5143724696,9479.74784075574,13332.4376855601,847.301012145749,51.4787786774629,3701.99962887989,1211395.0694332,3.37381916329285e-05,6557.35151821862,3.37381916329285e-05,6749.00070850202,2351.140317139,20.3608083863611,7770.138731444,0.00968235194620808,0,15938.8786774629,0.177665317139001,1835.38259109312,0,147448.638326586,0.0304655870445344,1821.95226045884,0.0220985155195682,2601.49976383266,0,13018.2331309042,0,65926.4257759784,3.37381916329285e-05,6838.48576248313,3.37381916329285e-05,8930.97847503374,0,25638.2531376518,2385.23222975015,15.5132499793747
5021,0.361598342657089,0,39232.7470871524,0,38216.1224949511,0,0,0.0112630107192792,0,0.021671586142613,0.0230697529905235,0,0,0,0,0.00279633369582103,0,0.0734037595153022,0,0.0723939723473668,0,0.00699083423955259,0.785614416653721,0.00279633369582103,0,761452.842939257,1226127.07200559,4585.11682460774,27230.1804411993,6418.12785459065,5097.20040391487,9475.86616436228,65822.2901196209,57370.7881000466,297570.035187199,9767.14937082492,51909.9845424887,2883.48228988659,10932.3159857076,3669.10462948579,21105.159002641,2605.91603231319,106.055615970172,4787.30852881777,1222012.89692403,0,10147.8526487494,7.76759359950287e-05,6194.019418984,1531.92154730464,10.7286613788568,10315.1417585832,0.050136752193699,0,16713.4358396769,0.311946558956035,2000.59313344726,0,56104.2290663352,0.0528973124126146,1164.4581326705,0.0440422557091813,1434.9057014137,0.000543731551965201,3437.49510641603,0,50934.8953705142,7.76759359950287e-05,6206.46489047693,0,15697.5417119776,0.070141370203511,3135.20180208171,2815.02604176884,20.9040330177805
5030,3.59801554679871,0,27832.2065398335,0,17655.1330558858,0,0,0.00214030915576694,0.00321046373365042,0.0557669441141498,0.110225921521998,0.0192627824019025,0,0,0,0,0,0.145659928656361,0,0,0,0.0941736028537455,0.555291319857313,0.014268727705113,0,798176.90844233,1162562.03222354,5168.87051129608,5361.23959571938,1914.93626634958,1712.4368608799,2619.43115338882,36709.1330558859,66462.0304399524,296084.485136742,22037.7960760999,18295.1966706302,730.434244946492,47089.8927467301,24190.3468489893,46470.5736028537,1016.69262782402,171.532223543401,5005.40071343639,1162850.88703924,0,9243.76991676576,0.000118906064209275,3517.04839476813,1485.19869203329,18.8274384151032,9950.68561236623,1.01984014834319,0,11334.3363852556,0.0587395957193817,4227.87003567182,0,72536.4057074911,0.0335315101070155,1361.27859690844,0.227229488703924,283.075505350773,0.000118906064209275,3478.20273483948,0,24305.5612366231,0.000118906064209275,3508.98478002378,0.000594530321046373,2430.64910820452,0,9532.54791914388,2436.85503749724,20.7925162970886
5031,0.214941814541817,0,95173.8746056586,8.28013347575163e-06,17938.6809333366,0,0,0.000298084805127059,0,4.96808008545098e-05,0.00192099096637438,0.00121717962093549,0,0.00126686042179,0,0,0,0.0040572654031183,0,0,0,0.0836210679716157,0.907386707073718,0.000182162936466536,0,693776.53161769,1291810.158962,14670.0631691383,27305.5488320872,27862.4194964023,12606.6413708589,14268.8463869638,67156.931572977,18189.4042692368,254848.743108859,75829.4107774217,97139.1069958848,5776.22985650529,76929.3555323712,34892.0462031448,68471.1763420026,1334.19729902046,20.4027042915932,23803.4660473127,1289232.41762509,0.000107641735184771,7047.2675807934,3.31205339030065e-05,16409.5005671891,1073.99894014292,13.574062931527,11317.3796027192,0.0534677153925691,2.48404004272549e-05,16651.9739507001,0.00243435924187098,11702.444477565,0,84444.769042237,0.0191602288628893,2910.44518137632,0.0258671369782481,3242.19584171697,0.000207003336893791,6602.14163996324,0,49736.6551986818,8.28013347575163e-06,15103.2126669482,8.28013347575163e-06,14678.9399607522,0.00371777993061248,19407.996091777,3117.63354995165,22.6744101219332
5034,1.07669579982758,0,71538.7232936024,0,33125.1200637022,0,0,0.0125164854306119,0,0.0336676039515266,0.0252071565431607,0.0137109015353224,0.000447906039266429,0,0,0.00778858834946624,0,0.135566227884639,0,0,0.000447906039266429,0.0238136710876652,0.697115982780501,0.0497175703585737,0,843380.596710379,1111441.87836863,4328.4897354866,24470.3252295518,2939.64642794934,2534.756612835,2931.35387065469,14183.8326822107,20790.2664045587,331460.214721179,7124.6661109314,67496.6774578844,1001.30805982034,12888.623385672,21470.391121507,9090.57742553562,4776.76925373877,110.120511608232,3192.83696220171,1112182.3783313,2.4883668848135e-05,11998.1566426954,7.46510065444049e-05,8895.81202876552,2100.4475576679,20.923287263842,6868.48490805484,0.0737410096640413,2.4883668848135e-05,9489.41707517356,0.381541294448453,1734.45853136586,0,44835.5430611889,0.038171548013039,1088.71799338094,0.0795779729763356,2145.82287804514,2.4883668848135e-05,10429.193868664,0,70350.315226317,2.4883668848135e-05,9007.74501704531,0.000174185681936945,4363.2444322791,0,23478.0320999328,2349.60792731184,16.3130887018944
5036,0.704037964344025,0,20944.737478622,0,10393.0360371366,0,0,0.00806254580991937,0,0.0245541167847545,0.00207671634497923,0,0,0,0,0,0,0.131810408013682,0,0,0,0.0660884436843391,0.767407769362326,0,0,788386.672367457,1171022.92352797,3119.76777424872,7589.58966528219,3225.59565111165,3771.63303200586,6352.75629122893,38907.2373564623,69329.5962619106,286692.108600049,12353.2963596384,12932.4888834596,781.111776203274,51666.2437087711,23982.3388712436,50057.799413633,1008.92316149524,62.598460786709,8084.39030051307,1171748.21268019,0,5882.89311018813,0.000244319569997557,3474.06193501099,1770.65673100415,21.9770894384664,10222.2554361104,0.0883700696237353,0,9168.08502321036,0.446249694600537,1372.10811140972,0,82339.1452479844,0.0412900073295871,897.115685316394,0.0965062301490349,813.516980210115,0.000244319569997557,3310.1481798192,0,17333.7255069631,0.000122159784998778,3484.48607378451,0.000122159784998778,3600.2369899829,0,6095.6075006108,2440.73412872256,19.0772218841144
5038,0.338131725788116,0,72473.0208622677,0,32090.7518394846,0,0,0.00304364528234981,0.000797848763334417,0,0.0128246801217458,0.00328004491593038,0,0.00877633639667858,0,0,0,0.0705061907154044,0,0,0,0.327029343104518,0.566827221417807,0.00691468928223161,0,706611.09009781,1261899.9679974,6922.97160249402,9116.53807511598,12895.7442155965,2969.44688395733,8915.87098489997,36273.7375373068,7451.28184746314,236218.407050619,63710.6655536184,65733.2882598032,1606.05354451701,64659.8698915517,11032.4718241187,48981.4527939482,383.352915102982,170.017404923022,7575.90886794125,1262190.65379274,2.9549954197571e-05,4545.86279956266,5.9099908395142e-05,7836.05803611004,2055.94707603203,10.9601348462588,9457.8771608404,0.0426399363214062,5.9099908395142e-05,11575.3369285778,0,22524.8437693922,0,109893.461599835,0.0587157589905736,749.647882745782,0.0695310422268846,709.875210543424,8.8649862592713e-05,6450.44357436246,0,14473.4845896989,2.9549954197571e-05,7801.75036198694,2.9549954197571e-05,9110.57861765314,0.000206849679382997,8902.64859194468,2674.09964199647,17.6875851471411
5040,0.129734218120575,0,86700.4440817425,0,25172.0115419475,0,0,5.66475953095791e-05,0,0,0.000736418739024528,0.000219509431824619,0,0,0,0,0,0.012611170905795,0,0,0,0.13426896278253,0.852107290545516,0,0,669972.420410129,1306897.76940888,16348.0457004475,23596.6585495383,39585.3048277913,13765.168668215,11192.6931187334,50911.1952500991,28783.0982481731,227769.469672294,87851.9259969977,108910.9888121,4288.20354897185,98159.3138914066,28290.7361638248,86325.5411898827,1378.54892936045,37.7047810570441,20438.33636634,1306242.74943352,4.24856964821843e-05,8825.75784569195,0,20101.2448663117,906.258532544044,14.4245959152962,11053.7595309579,0.0211763852001816,0,22962.8774570894,0.0367784512547442,14938.6045856228,0,110870.913272532,0.0351498328895938,1377.49386081686,0.0139565512943976,3985.62272701524,7.08094941369739e-05,8122.98726845295,0,43981.2173709851,7.08094941369739e-06,16125.7457585113,7.08094941369739e-06,13763.5703563134,0,24041.428886025,3308.26308810232,23.2196642044126
